order_date,total_sales,total_qty,n_orders
2024-02-18,499.99,1.0,1
2024-02-19,16199.99,11.0,4
2024-02-20,1500.0,3.0,1
2024-02-21,23500.0,12.0,3
2024-02-22,1499.98,3.0,2
2024-02-23,11999.91,14.0,4
2024-02-24,2499.98,3.0,2
2024-02-25,1500.0,3.0,2
2024-02-26,10600.0,9.0,4
2024-02-27,499.99,1.0,1
2024-02-28,10099.97,8.0,3
2024-02-29,3700.0,6.0,2
2024-03-01,8199.96,13.0,5
2024-03-02,3500.0,7.0,2
2024-03-03,1500.0,3.0,2
2024-03-04,3500.0,7.0,2
2024-03-05,500.0,1.0,1
2024-03-06,1500.0,3.0,1
2024-03-07,1200.0,1.0,1
2024-03-08,6100.0,4.0,2
2024-03-09,1500.0,3.0,1
2024-03-10,4000.0,2.0,2
2024-03-11,12600.0,7.0,3
2024-03-13,10000.0,8.0,3
2024-03-14,3000.0,4.0,2
2024-03-16,8500.0,10.0,2
2024-03-17,15099.98,10.0,4
2024-03-18,5800.0,6.0,2
2024-03-19,11000.0,7.0,2
2024-03-22,6500.0,3.0,2
2024-03-24,500.0,1.0,1
2024-03-25,3900.0,3.0,3
2024-03-26,6000.0,5.0,1
2024-03-27,500.0,1.0,1
2024-03-28,3000.0,2.0,2
2024-03-29,6000.0,4.0,1
2024-03-30,1000.0,2.0,1
2024-03-31,6500.0,5.0,3
2024-04-01,7500.0,3.0,1
2024-04-02,4999.96,6.0,3
2024-04-03,1200.0,1.0,1
2024-04-04,9500.0,9.0,2
2024-04-06,9000.0,6.0,3
2024-04-09,1500.0,1.0,1
2024-04-10,9400.0,8.0,4
2024-04-11,2500.0,1.0,1
2024-04-13,9400.0,10.0,4
2024-04-14,3999.97,8.0,2
2024-04-15,3700.0,2.0,2
2024-04-16,10899.96,13.0,6
2024-04-17,3600.0,3.0,1
2024-04-18,5499.91,11.0,3
2024-04-19,13500.0,11.0,3
2024-04-21,8500.0,5.0,2
2024-04-22,7500.0,3.0,2
2024-04-23,8500.0,7.0,2
2024-04-24,4500.0,3.0,1
2024-04-26,8200.0,8.0,3
2024-04-27,4699.93,8.0,4
2024-04-28,1200.0,1.0,1
2024-04-29,9000.0,6.0,2
2024-04-30,6999.98,6.0,3
2024-05-01,10000.0,4.0,1
2024-05-02,2400.0,2.0,1
