order_id,order_date,product,category,quantity,sales,region
ORD100000,2024-04-16,Groceries,Groceries,3.0,1499.97,Nigeria
ORD100001,2024-08-18,Groceries,Groceries,,,nigeria
ORD100002,2024-04-27,Electronics,Electronics,3.0,1499.97,Nigeria
ORD100003,2024-10-14,Electronics,Electronics,3.0,4500.0,USA
ORD100004,2024-04-16,Groceries,Groceries,2.0,1000.0,Nigeria
ORD100005,2025-02-09,Groceries,Groceries,4.0,2000.0,Nigeria
ORD100006,2025-02-17,Groceries,Groceries,3.0,4500.0,United States
ORD100007,2025-06-28,Groceries,Groceries,5.0,2500.0,United Kingdom
ORD100008,2025-08-17,Home,Home,4.0,2000.0,United Kingdom
ORD100009,2024-06-11,Fashion,Fashion,4.0,1999.96,Nigeria
ORD100010,2024-11-01,Electronics,Electronics,3.0,1500.0,United States
ORD100011,2024-08-02,Fashion,Fashion,,,Nigeria
ORD100012,2024-03-03,Groceries,Groceries,1.0,500.0,Nigeria
ORD100013,2025-03-23,Home,Home,2.0,1000.0,Nigeria
ORD100014,2025-01-05,Groceries,Groceries,1.0,1200.0,Ghana
ORD100015,2024-04-19,electronics,electronics,4.0,10000.0,nigeria
ORD100016,2025-02-16,Electronics,Electronics,,,nigeria
ORD100017,2024-06-08,Electronics,Electronics,4.0,10000.0,Nigeria
ORD100018,2024-08-24,Home,Home,2.0,5000.0,United Kingdom
ORD100019,2025-02-16,Electronics,Electronics,,,Nigeria
ORD100020,2024-09-09,Electronics,Electronics,1.0,500.0,Nigeria
ORD100021,2025-04-20,Fashion,Fashion,5.0,2500.0,Nigeria
ORD100022,2024-09-07,electronics,electronics,3.0,7500.0,Turkey
ORD100023,2025-10-13,Groceries,Groceries,1.0,1200.0,United Kingdom
ORD100024,2026-01-12,Fashion,Fashion,1.0,1200.0,United States
ORD100025,2025-01-07,Electronics,Electronics,1.0,500.0,Nigeria
ORD100026,2026-02-16,Home,Home,-1.0,-499.99,nigeria
ORD100027,2025-07-15,electronics,electronics,1.0,2500.0,United States
ORD100028,2024-06-24,Electronics,Electronics,2.0,2400.0,United States
ORD100029,2024-03-17,Electronics,Electronics,2.0,999.98,nigeria
ORD100030,2024-11-10,Electronics,Electronics,2.0,5000.0,Ghana
ORD100031,2025-09-07,Home,Home,1.0,499.99,Ghana
ORD100032,2024-10-31,electronics,electronics,1.0,1200.0,Nigeria
ORD100033,2025-10-04,electronics,electronics,5.0,12500.0,Ghana
ORD100034,2025-02-01,Electronics,Electronics,1.0,1200.0,nigeria
ORD100035,2025-07-15,Groceries,Groceries,,,United Kingdom
ORD100036,2024-12-16,Fashion,Fashion,5.0,2500.0,Ghana
ORD100037,2024-04-02,Electronics,Electronics,1.0,500.0,Ghana
ORD100038,,electronics,electronics,1.0,499.99,United Kingdom
ORD100039,2026-01-05,Groceries,Groceries,3.0,7500.0,nigeria
ORD100040,2026-01-26,Electronics,Electronics,1.0,1500.0,United States
ORD100041,2024-04-13,Electronics,Electronics,3.0,1500.0,Nigeria
ORD100042,2025-05-10,electronics,electronics,1.0,500.0,USA
ORD100043,2024-09-25,Electronics,Electronics,,,nigeria
ORD100044,2024-08-22,electronics,electronics,5.0,2500.0,United Kingdom
ORD100045,2025-01-20,Electronics,Electronics,1.0,2500.0,Nigeria
ORD100046,2026-01-21,Home,Home,1.0,,United States
ORD100047,2025-07-11,Groceries,Groceries,3.0,1499.97,Ghana
ORD100048,2025-12-25,electronics,electronics,1.0,1500.0,Nigeria
ORD100049,2024-05-02,electronics,electronics,2.0,2400.0,United States
ORD100050,2025-09-24,electronics,electronics,,,United States
ORD100051,2024-07-04,Groceries,Groceries,5.0,2499.95,United States
ORD100052,2024-09-28,Electronics,Electronics,1.0,500.0,Ghana
ORD100053,,electronics,electronics,2.0,999.98,Nigeria
ORD100054,2025-01-29,Fashion,Fashion,-1.0,,nigeria
ORD100055,2024-08-26,Electronics,Electronics,3.0,1500.0,Nigeria
ORD100056,2024-05-05,Groceries,Groceries,3.0,3600.0,United States
ORD100057,2024-07-31,electronics,electronics,3.0,,United States
ORD100058,2026-01-22,Electronics,Electronics,5.0,,Nigeria
ORD100059,,Fashion,Fashion,1.0,500.0,Nigeria
ORD100060,2024-09-10,Electronics,Electronics,1.0,500.0,United States
ORD100061,2025-03-11,Groceries,Groceries,1.0,,United States
ORD100062,2025-05-09,Fashion,Fashion,3.0,4500.0,Nigeria
ORD100063,2025-03-04,Groceries,Groceries,3.0,4500.0,Nigeria
ORD100064,2025-10-03,Home,Home,1.0,499.99,United States
ORD100065,2024-09-14,Groceries,Groceries,1.0,500.0,Nigeria
ORD100066,2024-11-09,Fashion,Fashion,1.0,,United States
ORD100067,2024-07-16,Groceries,Groceries,,,Turkey
ORD100068,2024-06-01,Groceries,Groceries,1.0,2500.0,nigeria
ORD100069,2025-12-16,Groceries,Groceries,2.0,5000.0,United Kingdom
ORD100070,2024-08-14,Electronics,Electronics,5.0,2499.95,United Kingdom
ORD100071,2024-10-03,Electronics,Electronics,,,Nigeria
ORD100072,2024-03-10,Fashion,Fashion,1.0,2500.0,United States
ORD100073,2025-06-21,Electronics,Electronics,4.0,6000.0,Nigeria
ORD100074,2025-11-14,Electronics,Electronics,2.0,3000.0,nigeria
ORD100075,2024-10-22,electronics,electronics,1.0,500.0,Ghana
ORD100076,2025-08-28,Electronics,Electronics,1.0,1500.0,United Kingdom
ORD100077,2025-09-17,Electronics,Electronics,2.0,5000.0,Turkey
ORD100078,2024-07-28,Fashion,Fashion,1.0,500.0,United States
ORD100079,2024-04-20,Groceries,Groceries,-1.0,-1200.0,USA
ORD100080,2024-02-19,Home,Home,5.0,12500.0,United States
ORD100081,2025-02-27,Fashion,Fashion,5.0,2500.0,Ghana
ORD100082,2024-12-20,Fashion,Fashion,1.0,499.99,nigeria
ORD100083,2024-12-14,Fashion,Fashion,-1.0,-1200.0,United Kingdom
ORD100084,2025-04-29,Electronics,Electronics,3.0,7500.0,Nigeria
ORD100085,2025-04-17,Home,Home,1.0,500.0,Ghana
ORD100086,,Groceries,Groceries,3.0,4500.0,Turkey
ORD100087,2025-04-16,Home,Home,2.0,3000.0,United Kingdom
ORD100088,2025-02-22,Fashion,Fashion,2.0,2400.0,United States
ORD100089,2024-12-27,Electronics,Electronics,1.0,500.0,USA
